Change Component Designator: Old Designator=? New Designator=1
Change Component Designator: Old Designator=IC? New Designator=IC18
Change Component Designator: Old Designator=IC? New Designator=IC20
Change Component Designator: Old Designator=IC? New Designator=IC21
Change Component Designator: Old Designator=IC? New Designator=IC22
Change Component Designator: Old Designator=R? New Designator=R68
Change Component Designator: Old Designator=R? New Designator=R69
Change Component Designator: Old Designator=R? New Designator=R70
Change Component Designator: Old Designator=R? New Designator=R71
Change Component Designator: Old Designator=RA? New Designator=RA1
Change Component Designator: Old Designator=RA? New Designator=RA2
Change Component Designator: Old Designator=RA? New Designator=RA3
Change Component Designator: Old Designator=RA? New Designator=RA4
Change Component Designator: Old Designator=RA? New Designator=RA5
Change Component Designator: Old Designator=RA? New Designator=RA6
Change Component Designator: Old Designator=RA? New Designator=RA7
Change Component Designator: Old Designator=RA? New Designator=RA8
Change Component Designator: Old Designator=RA? New Designator=RA9
Change Component Designator: Old Designator=RA? New Designator=RA10
Change Component Designator: Old Designator=RA? New Designator=RA11
Change Component Designator: Old Designator=RA? New Designator=RA12
Change Component Designator: Old Designator=RA? New Designator=RA13
Change Component Designator: Old Designator=RA? New Designator=RA1
Change Component Designator: Old Designator=RA? New Designator=RA2
Change Component Designator: Old Designator=RA? New Designator=RA3
Change Component Designator: Old Designator=RA? New Designator=RA4
Change Component Designator: Old Designator=RA? New Designator=RA5
Change Component Designator: Old Designator=RA? New Designator=RA6
Change Component Designator: Old Designator=RA? New Designator=RA7
Change Component Designator: Old Designator=RA? New Designator=RA8
Change Component Designator: Old Designator=RA? New Designator=RA9
Change Component Designator: Old Designator=RA? New Designator=RA10
Change Component Designator: Old Designator=RA? New Designator=RA11
Change Component Designator: Old Designator=RA? New Designator=RA12
Change Component Designator: Old Designator=RA? New Designator=RA13
Change Component Designator: Old Designator=RA? New Designator=RA14
Change Component Designator: Old Designator=RA? New Designator=RA1
Change Component Designator: Old Designator=RA? New Designator=RA2
Change Component Designator: Old Designator=RA? New Designator=RA3
Change Component Designator: Old Designator=RA? New Designator=RA4
Change Component Designator: Old Designator=RA? New Designator=RA5
Change Component Designator: Old Designator=RA? New Designator=RA6
Change Component Designator: Old Designator=RA? New Designator=RA7
Change Component Designator: Old Designator=RA? New Designator=RA8
Change Component Designator: Old Designator=RA? New Designator=RA9
Change Component Designator: Old Designator=RA? New Designator=RA10
Change Component Designator: Old Designator=RA? New Designator=RA11
Change Component Designator: Old Designator=RA? New Designator=RA12
Change Component Designator: Old Designator=RA? New Designator=RA13
Change Component Designator: Old Designator=RA? New Designator=RA14
Change Component Designator: Old Designator=RA? New Designator=RA1
Change Component Designator: Old Designator=RA? New Designator=RA2
Change Component Designator: Old Designator=RA? New Designator=RA3
Change Component Designator: Old Designator=RA? New Designator=RA4
Change Component Designator: Old Designator=RA? New Designator=RA5
Change Component Designator: Old Designator=RA? New Designator=RA6
Change Component Designator: Old Designator=RA? New Designator=RA7
Change Component Designator: Old Designator=RA? New Designator=RA8
Change Component Designator: Old Designator=RA? New Designator=RA9
Change Component Designator: Old Designator=RA? New Designator=RA10
Change Component Designator: Old Designator=RA? New Designator=RA11
Change Component Designator: Old Designator=RA? New Designator=RA12
Change Component Designator: Old Designator=RA? New Designator=RA13
Change Component Designator: Old Designator=RA? New Designator=RA14
