Change Component Designator: Old Designator=1 New Designator=?
Change Component Designator: Old Designator=IC18 New Designator=IC?
Change Component Designator: Old Designator=IC20 New Designator=IC?
Change Component Designator: Old Designator=IC21 New Designator=IC?
Change Component Designator: Old Designator=IC22 New Designator=IC?
Change Component Designator: Old Designator=R68 New Designator=R?
Change Component Designator: Old Designator=R69 New Designator=R?
Change Component Designator: Old Designator=R70 New Designator=R?
Change Component Designator: Old Designator=R71 New Designator=R?
Change Component Designator: Old Designator=RA1 New Designator=RA?
Change Component Designator: Old Designator=RA1 New Designator=RA?
Change Component Designator: Old Designator=RA1 New Designator=RA?
Change Component Designator: Old Designator=RA1 New Designator=RA?
Change Component Designator: Old Designator=RA2 New Designator=RA?
Change Component Designator: Old Designator=RA2 New Designator=RA?
Change Component Designator: Old Designator=RA2 New Designator=RA?
Change Component Designator: Old Designator=RA2 New Designator=RA?
Change Component Designator: Old Designator=RA3 New Designator=RA?
Change Component Designator: Old Designator=RA3 New Designator=RA?
Change Component Designator: Old Designator=RA3 New Designator=RA?
Change Component Designator: Old Designator=RA3 New Designator=RA?
Change Component Designator: Old Designator=RA4 New Designator=RA?
Change Component Designator: Old Designator=RA4 New Designator=RA?
Change Component Designator: Old Designator=RA4 New Designator=RA?
Change Component Designator: Old Designator=RA4 New Designator=RA?
Change Component Designator: Old Designator=RA5 New Designator=RA?
Change Component Designator: Old Designator=RA5 New Designator=RA?
Change Component Designator: Old Designator=RA5 New Designator=RA?
Change Component Designator: Old Designator=RA5 New Designator=RA?
Change Component Designator: Old Designator=RA6 New Designator=RA?
Change Component Designator: Old Designator=RA6 New Designator=RA?
Change Component Designator: Old Designator=RA6 New Designator=RA?
Change Component Designator: Old Designator=RA6 New Designator=RA?
Change Component Designator: Old Designator=RA7 New Designator=RA?
Change Component Designator: Old Designator=RA7 New Designator=RA?
Change Component Designator: Old Designator=RA7 New Designator=RA?
Change Component Designator: Old Designator=RA7 New Designator=RA?
Change Component Designator: Old Designator=RA8 New Designator=RA?
Change Component Designator: Old Designator=RA8 New Designator=RA?
Change Component Designator: Old Designator=RA8 New Designator=RA?
Change Component Designator: Old Designator=RA8 New Designator=RA?
Change Component Designator: Old Designator=RA9 New Designator=RA?
Change Component Designator: Old Designator=RA9 New Designator=RA?
Change Component Designator: Old Designator=RA9 New Designator=RA?
Change Component Designator: Old Designator=RA9 New Designator=RA?
Change Component Designator: Old Designator=RA10 New Designator=RA?
Change Component Designator: Old Designator=RA10 New Designator=RA?
Change Component Designator: Old Designator=RA10 New Designator=RA?
Change Component Designator: Old Designator=RA10 New Designator=RA?
Change Component Designator: Old Designator=RA11 New Designator=RA?
Change Component Designator: Old Designator=RA11 New Designator=RA?
Change Component Designator: Old Designator=RA11 New Designator=RA?
Change Component Designator: Old Designator=RA11 New Designator=RA?
Change Component Designator: Old Designator=RA12 New Designator=RA?
Change Component Designator: Old Designator=RA12 New Designator=RA?
Change Component Designator: Old Designator=RA12 New Designator=RA?
Change Component Designator: Old Designator=RA12 New Designator=RA?
Change Component Designator: Old Designator=RA13 New Designator=RA?
Change Component Designator: Old Designator=RA13 New Designator=RA?
Change Component Designator: Old Designator=RA13 New Designator=RA?
Change Component Designator: Old Designator=RA13 New Designator=RA?
Change Component Designator: Old Designator=RA14 New Designator=RA?
Change Component Designator: Old Designator=RA14 New Designator=RA?
Change Component Designator: Old Designator=RA14 New Designator=RA?
