Change Component Designator: Old Designator=IC19 New Designator=IC26
Change Component Designator: Old Designator=IC20 New Designator=IC25
Change Component Designator: Old Designator=IC21 New Designator=IC28
Change Component Designator: Old Designator=IC22 New Designator=IC29
Change Component Designator: Old Designator=IC25 New Designator=IC27
Change Component Designator: Old Designator=R68 New Designator=R82
Change Component Designator: Old Designator=R69 New Designator=R84
Change Component Designator: Old Designator=R70 New Designator=R85
Change Component Designator: Old Designator=R71 New Designator=R86
Change Component Designator: Old Designator=R82 New Designator=R83
Change Component Designator: Old Designator=RA2 New Designator=RA3
Change Component Designator: Old Designator=RA2 New Designator=RA4
Change Component Designator: Old Designator=RA2 New Designator=RA4
Change Component Designator: Old Designator=RA2 New Designator=RA4
Change Component Designator: Old Designator=RA3 New Designator=RA2
Change Component Designator: Old Designator=RA3 New Designator=RA2
Change Component Designator: Old Designator=RA3 New Designator=RA2
Change Component Designator: Old Designator=RA3 New Designator=RA2
Change Component Designator: Old Designator=RA4 New Designator=RA5
Change Component Designator: Old Designator=RA4 New Designator=RA5
Change Component Designator: Old Designator=RA4 New Designator=RA5
Change Component Designator: Old Designator=RA5 New Designator=RA7
Change Component Designator: Old Designator=RA5 New Designator=RA8
Change Component Designator: Old Designator=RA5 New Designator=RA8
Change Component Designator: Old Designator=RA5 New Designator=RA8
Change Component Designator: Old Designator=RA6 New Designator=RA5
Change Component Designator: Old Designator=RA7 New Designator=RA9
Change Component Designator: Old Designator=RA7 New Designator=RA9
Change Component Designator: Old Designator=RA7 New Designator=RA9
Change Component Designator: Old Designator=RA7 New Designator=RA9
Change Component Designator: Old Designator=RA8 New Designator=RA10
Change Component Designator: Old Designator=RA8 New Designator=RA10
Change Component Designator: Old Designator=RA8 New Designator=RA10
Change Component Designator: Old Designator=RA8 New Designator=RA10
Change Component Designator: Old Designator=RA9 New Designator=RA11
Change Component Designator: Old Designator=RA9 New Designator=RA11
Change Component Designator: Old Designator=RA9 New Designator=RA11
Change Component Designator: Old Designator=RA9 New Designator=RA11
Change Component Designator: Old Designator=RA10 New Designator=RA12
Change Component Designator: Old Designator=RA10 New Designator=RA12
Change Component Designator: Old Designator=RA10 New Designator=RA12
Change Component Designator: Old Designator=RA10 New Designator=RA12
Change Component Designator: Old Designator=RA11 New Designator=RA13
Change Component Designator: Old Designator=RA11 New Designator=RA13
Change Component Designator: Old Designator=RA11 New Designator=RA13
Change Component Designator: Old Designator=RA11 New Designator=RA13
Change Component Designator: Old Designator=RA12 New Designator=RA14
Change Component Designator: Old Designator=RA12 New Designator=RA14
Change Component Designator: Old Designator=RA12 New Designator=RA14
Change Component Designator: Old Designator=RA12 New Designator=RA14
Change Component Designator: Old Designator=RA13 New Designator=RA15
Change Component Designator: Old Designator=RA13 New Designator=RA15
Change Component Designator: Old Designator=RA13 New Designator=RA15
Change Component Designator: Old Designator=RA13 New Designator=RA15
Change Component Designator: Old Designator=RA14 New Designator=RA16
Change Component Designator: Old Designator=RA14 New Designator=RA16
Change Component Designator: Old Designator=RA14 New Designator=RA16
Change Component Designator: Old Designator=RA15 New Designator=RA6
Change Component Designator: Old Designator=RA15 New Designator=RA3
Change Component Designator: Old Designator=RA15 New Designator=RA3
Change Component Designator: Old Designator=RA15 New Designator=RA3
Change Component Designator: Old Designator=RA16 New Designator=RA8
Change Component Designator: Old Designator=RA16 New Designator=RA7
Change Component Designator: Old Designator=RA16 New Designator=RA7
Change Component Designator: Old Designator=RA16 New Designator=RA7
